"YEAR","AGE_GROUP","Sum(FINES)"
2008,"All ages",155999
2009,"All ages",165252
2010,"All ages",171829
2011,"All ages",159874
2012,"All ages",166975
2013,"All ages",146415
2014,"All ages",132619
2015,"All ages",128385
2016,"All ages",114981
2017,"All ages",117909
2018,"All ages",113981
2019,"All ages",97367
2020,"All ages",195151
2021,"All ages",221080
2022,"All ages",362342
2023,"0-16",37
2023,"17-25",11237
2023,"26-39",23218
2023,"40-64",19866
2023,"65 and over",2551
2023,"Unknown",301253
2024,"0-16",2144
2024,"17-25",26606
2024,"26-39",67129
2024,"40-64",66582
2024,"65 and over",8934
2024,"Unknown",159531
